"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.56200000000E+009, -6.58062466726E-001, +0.00000000000E+000
+1.56300000000E+009, -6.67037954019E-001, +0.00000000000E+000
+1.56400000000E+009, -6.67748916165E-001, +0.00000000000E+000
+1.56500000000E+009, -6.73066385068E-001, +0.00000000000E+000
+1.56600000000E+009, -6.75618901107E-001, +0.00000000000E+000
+1.56700000000E+009, -6.79071049878E-001, +0.00000000000E+000
+1.56800000000E+009, -6.84901368481E-001, +0.00000000000E+000
+1.56900000000E+009, -6.91436066489E-001, +0.00000000000E+000
+1.57000000000E+009, -6.89047237818E-001, +0.00000000000E+000
+1.57100000000E+009, -7.00192368284E-001, +0.00000000000E+000
+1.57200000000E+009, -7.00988295112E-001, +0.00000000000E+000
+1.57300000000E+009, -7.05152998261E-001, +0.00000000000E+000
+1.57400000000E+009, -7.17323634514E-001, +0.00000000000E+000
+1.57500000000E+009, -7.19412977759E-001, +0.00000000000E+000
+1.57600000000E+009, -7.25202954302E-001, +0.00000000000E+000
+1.57700000000E+009, -7.29960767470E-001, +0.00000000000E+000
+1.57800000000E+009, -7.31912677584E-001, +0.00000000000E+000
+1.57900000000E+009, -7.41330059460E-001, +0.00000000000E+000
+1.58000000000E+009, -7.44595764794E-001, +0.00000000000E+000
+1.58100000000E+009, -7.52936187035E-001, +0.00000000000E+000
+1.58200000000E+009, -7.58875618620E-001, +0.00000000000E+000
+1.58300000000E+009, -7.64773565693E-001, +0.00000000000E+000
+1.58400000000E+009, -7.78530069938E-001, +0.00000000000E+000
+1.58500000000E+009, -7.86093181563E-001, +0.00000000000E+000
+1.58600000000E+009, -7.93250118306E-001, +0.00000000000E+000
+1.58700000000E+009, -7.97308032044E-001, +0.00000000000E+000
+1.58800000000E+009, -8.09780032982E-001, +0.00000000000E+000
+1.58900000000E+009, -8.09929154369E-001, +0.00000000000E+000
+1.59000000000E+009, -8.18239494127E-001, +0.00000000000E+000
+1.59100000000E+009, -8.22914635910E-001, +0.00000000000E+000
+1.59200000000E+009, -8.35465559164E-001, +0.00000000000E+000
+1.59300000000E+009, -8.36204225659E-001, +0.00000000000E+000
+1.59400000000E+009, -8.37283031740E-001, +0.00000000000E+000
+1.59500000000E+009, -8.46235290391E-001, +0.00000000000E+000
+1.59600000000E+009, -8.46461082280E-001, +0.00000000000E+000
+1.59700000000E+009, -8.49368968331E-001, +0.00000000000E+000
+1.59800000000E+009, -8.46920673406E-001, +0.00000000000E+000
+1.59900000000E+009, -8.52050947434E-001, +0.00000000000E+000
+1.60000000000E+009, -8.49100838914E-001, +0.00000000000E+000
+1.60100000000E+009, -8.55678085326E-001, +0.00000000000E+000
+1.60200000000E+009, -8.53661787788E-001, +0.00000000000E+000
+1.60300000000E+009, -8.50973035407E-001, +0.00000000000E+000
+1.60400000000E+009, -8.60179358181E-001, +0.00000000000E+000
+1.60500000000E+009, -8.58206727275E-001, +0.00000000000E+000
+1.60600000000E+009, -8.65399864911E-001, +0.00000000000E+000
+1.60700000000E+009, -8.67149822864E-001, +0.00000000000E+000
+1.60800000000E+009, -8.76066420181E-001, +0.00000000000E+000
+1.60900000000E+009, -8.81725972677E-001, +0.00000000000E+000
+1.61000000000E+009, -8.83467237683E-001, +0.00000000000E+000
+1.61100000000E+009, -8.88523231106E-001, +0.00000000000E+000
+1.61200000000E+009, -8.92314781311E-001, +0.00000000000E+000
+1.61300000000E+009, -8.96680849070E-001, +0.00000000000E+000
+1.61400000000E+009, -8.97710497461E-001, +0.00000000000E+000
+1.61500000000E+009, -9.05217288666E-001, +0.00000000000E+000
+1.61600000000E+009, -9.11117308425E-001, +0.00000000000E+000
+1.61700000000E+009, -9.09647271384E-001, +0.00000000000E+000
+1.61800000000E+009, -9.17851618353E-001, +0.00000000000E+000
+1.61900000000E+009, -9.18450316006E-001, +0.00000000000E+000
+1.62000000000E+009, -9.16739090352E-001, +0.00000000000E+000
+1.62100000000E+009, -9.20174776147E-001, +0.00000000000E+000
+1.62200000000E+009, -9.27981942197E-001, +0.00000000000E+000
+1.62300000000E+009, -9.25436825513E-001, +0.00000000000E+000
+1.62400000000E+009, -9.32067120378E-001, +0.00000000000E+000
+1.62500000000E+009, -9.34502483366E-001, +0.00000000000E+000
+1.62600000000E+009, -9.39092826273E-001, +0.00000000000E+000
+1.62700000000E+009, -9.43096565033E-001, +0.00000000000E+000
+1.62800000000E+009, -9.48569432274E-001, +0.00000000000E+000
+1.62900000000E+009, -9.55088089233E-001, +0.00000000000E+000
+1.63000000000E+009, -9.61322477166E-001, +0.00000000000E+000
+1.63100000000E+009, -9.67895246114E-001, +0.00000000000E+000
+1.63200000000E+009, -9.69388503142E-001, +0.00000000000E+000
+1.63300000000E+009, -9.76040811430E-001, +0.00000000000E+000
+1.63400000000E+009, -9.88767335518E-001, +0.00000000000E+000
+1.63500000000E+009, -9.86567135039E-001, +0.00000000000E+000
+1.63600000000E+009, -9.96327572110E-001, +0.00000000000E+000
+1.63700000000E+009, -1.00360448989E+000, +0.00000000000E+000
+1.63800000000E+009, -1.01123703005E+000, +0.00000000000E+000
+1.63900000000E+009, -1.02124720927E+000, +0.00000000000E+000
+1.64000000000E+009, -1.02905605595E+000, +0.00000000000E+000
+1.64100000000E+009, -1.03168146348E+000, +0.00000000000E+000
+1.64200000000E+009, -1.04049230156E+000, +0.00000000000E+000
+1.64300000000E+009, -1.04426446216E+000, +0.00000000000E+000
+1.64400000000E+009, -1.04505997690E+000, +0.00000000000E+000
+1.64500000000E+009, -1.05203761168E+000, +0.00000000000E+000
+1.64600000000E+009, -1.05948652813E+000, +0.00000000000E+000
+1.64700000000E+009, -1.05919549188E+000, +0.00000000000E+000
+1.64800000000E+009, -1.06952611481E+000, +0.00000000000E+000
+1.64900000000E+009, -1.07580447380E+000, +0.00000000000E+000
+1.65000000000E+009, -1.08743865214E+000, +0.00000000000E+000
+1.65100000000E+009, -1.09353152540E+000, +0.00000000000E+000
+1.65200000000E+009, -1.10276689664E+000, +0.00000000000E+000
+1.65300000000E+009, -1.11666074469E+000, +0.00000000000E+000
+1.65400000000E+009, -1.12517070810E+000, +0.00000000000E+000
+1.65500000000E+009, -1.12914851958E+000, +0.00000000000E+000
+1.65600000000E+009, -1.14867465214E+000, +0.00000000000E+000
+1.65700000000E+009, -1.15395790617E+000, +0.00000000000E+000
+1.65800000000E+009, -1.16339944357E+000, +0.00000000000E+000
+1.65900000000E+009, -1.18013357345E+000, +0.00000000000E+000
+1.66000000000E+009, -1.18573297152E+000, +0.00000000000E+000
+1.66100000000E+009, -1.19809770890E+000, +0.00000000000E+000
+1.66200000000E+009, -1.21165882846E+000, +0.00000000000E+000
+1.66300000000E+009, -1.22161622306E+000, +0.00000000000E+000
+1.66400000000E+009, -1.23293844633E+000, +0.00000000000E+000
+1.66500000000E+009, -1.24224344470E+000, +0.00000000000E+000
+1.66600000000E+009, -1.25389039000E+000, +0.00000000000E+000
+1.66700000000E+009, -1.26539333567E+000, +0.00000000000E+000
+1.66800000000E+009, -1.27922201629E+000, +0.00000000000E+000
+1.66900000000E+009, -1.28777270934E+000, +0.00000000000E+000
+1.67000000000E+009, -1.29697420481E+000, +0.00000000000E+000
+1.67100000000E+009, -1.31249253488E+000, +0.00000000000E+000
+1.67200000000E+009, -1.32288792059E+000, +0.00000000000E+000
+1.67300000000E+009, -1.33260395693E+000, +0.00000000000E+000
+1.67400000000E+009, -1.33967444820E+000, +0.00000000000E+000
+1.67500000000E+009, -1.35460870505E+000, +0.00000000000E+000
+1.67600000000E+009, -1.36659510559E+000, +0.00000000000E+000
+1.67700000000E+009, -1.38075679974E+000, +0.00000000000E+000
+1.67800000000E+009, -1.38804067784E+000, +0.00000000000E+000
+1.67900000000E+009, -1.40523827916E+000, +0.00000000000E+000
+1.68000000000E+009, -1.41778130229E+000, +0.00000000000E+000
+1.68100000000E+009, -1.42386229895E+000, +0.00000000000E+000
+1.68200000000E+009, -1.43673250808E+000, +0.00000000000E+000
+1.68300000000E+009, -1.44716426864E+000, +0.00000000000E+000
+1.68400000000E+009, -1.46471882570E+000, +0.00000000000E+000
+1.68500000000E+009, -1.46952283698E+000, +0.00000000000E+000
+1.68600000000E+009, -1.48213967899E+000, +0.00000000000E+000
+1.68700000000E+009, -1.49597451085E+000, +0.00000000000E+000
+1.68800000000E+009, -1.51160227381E+000, +0.00000000000E+000
+1.68900000000E+009, -1.51780849574E+000, +0.00000000000E+000
+1.69000000000E+009, -1.52741841881E+000, +0.00000000000E+000
+1.69100000000E+009, -1.54001727155E+000, +0.00000000000E+000
+1.69200000000E+009, -1.54513911471E+000, +0.00000000000E+000
+1.69300000000E+009, -1.55744996994E+000, +0.00000000000E+000
+1.69400000000E+009, -1.56777331773E+000, +0.00000000000E+000
+1.69500000000E+009, -1.57247127419E+000, +0.00000000000E+000
+1.69600000000E+009, -1.58246123565E+000, +0.00000000000E+000
+1.69700000000E+009, -1.59594738336E+000, +0.00000000000E+000
+1.69800000000E+009, -1.60278050162E+000, +0.00000000000E+000
+1.69900000000E+009, -1.61164575004E+000, +0.00000000000E+000
+1.70000000000E+009, -1.61546956271E+000, +0.00000000000E+000
+1.70100000000E+009, -1.62981704044E+000, +0.00000000000E+000
+1.70200000000E+009, -1.63957347381E+000, +0.00000000000E+000
+1.70300000000E+009, -1.64927827266E+000, +0.00000000000E+000
+1.70400000000E+009, -1.65812394869E+000, +0.00000000000E+000
+1.70500000000E+009, -1.66504056958E+000, +0.00000000000E+000
+1.70600000000E+009, -1.68034006988E+000, +0.00000000000E+000
+1.70700000000E+009, -1.69210182175E+000, +0.00000000000E+000
+1.70800000000E+009, -1.70334810534E+000, +0.00000000000E+000
+1.70900000000E+009, -1.71463490057E+000, +0.00000000000E+000
+1.71000000000E+009, -1.72928044638E+000, +0.00000000000E+000
+1.71100000000E+009, -1.74165883215E+000, +0.00000000000E+000
+1.71200000000E+009, -1.75991463862E+000, +0.00000000000E+000
+1.71300000000E+009, -1.77285912876E+000, +0.00000000000E+000
+1.71400000000E+009, -1.78880939776E+000, +0.00000000000E+000
+1.71500000000E+009, -1.80103612213E+000, +0.00000000000E+000
+1.71600000000E+009, -1.80957791521E+000, +0.00000000000E+000
+1.71700000000E+009, -1.81565440337E+000, +0.00000000000E+000
+1.71800000000E+009, -1.82781971944E+000, +0.00000000000E+000
+1.71900000000E+009, -1.83340097297E+000, +0.00000000000E+000
+1.72000000000E+009, -1.84034352501E+000, +0.00000000000E+000
+1.72100000000E+009, -1.85141969825E+000, +0.00000000000E+000
+1.72200000000E+009, -1.85831058702E+000, +0.00000000000E+000
+1.72300000000E+009, -1.87504463825E+000, +0.00000000000E+000
+1.72400000000E+009, -1.88382344110E+000, +0.00000000000E+000
+1.72500000000E+009, -1.90099172045E+000, +0.00000000000E+000
+1.72600000000E+009, -1.90675470686E+000, +0.00000000000E+000
+1.72700000000E+009, -1.92319410055E+000, +0.00000000000E+000
+1.72800000000E+009, -1.93889723555E+000, +0.00000000000E+000
+1.72900000000E+009, -1.95356633276E+000, +0.00000000000E+000
+1.73000000000E+009, -1.96938662589E+000, +0.00000000000E+000
+1.73100000000E+009, -1.97857613122E+000, +0.00000000000E+000
+1.73200000000E+009, -1.99227131528E+000, +0.00000000000E+000
+1.73300000000E+009, -2.00410529390E+000, +0.00000000000E+000
+1.73400000000E+009, -2.01796349342E+000, +0.00000000000E+000
+1.73500000000E+009, -2.03154958757E+000, +0.00000000000E+000
+1.73600000000E+009, -2.04518652225E+000, +0.00000000000E+000
+1.73700000000E+009, -2.05405973330E+000, +0.00000000000E+000
+1.73800000000E+009, -2.07080742680E+000, +0.00000000000E+000
+1.73900000000E+009, -2.07778049283E+000, +0.00000000000E+000
+1.74000000000E+009, -2.08829891311E+000, +0.00000000000E+000
+1.74100000000E+009, -2.10124329127E+000, +0.00000000000E+000
+1.74200000000E+009, -2.11060389852E+000, +0.00000000000E+000
+1.74300000000E+009, -2.11795574027E+000, +0.00000000000E+000
+1.74400000000E+009, -2.12584123818E+000, +0.00000000000E+000
+1.74500000000E+009, -2.14947015221E+000, +0.00000000000E+000
+1.74600000000E+009, -2.16770066044E+000, +0.00000000000E+000
+1.74700000000E+009, -2.18397364274E+000, +0.00000000000E+000
+1.74800000000E+009, -2.20546761533E+000, +0.00000000000E+000
+1.74900000000E+009, -2.22809564302E+000, +0.00000000000E+000
+1.75000000000E+009, -2.25540472753E+000, +0.00000000000E+000
+1.75100000000E+009, -2.27252619334E+000, +0.00000000000E+000
+1.75200000000E+009, -2.29003470282E+000, +0.00000000000E+000
+1.75300000000E+009, -2.31277942895E+000, +0.00000000000E+000
+1.75400000000E+009, -2.32632844969E+000, +0.00000000000E+000
+1.75500000000E+009, -2.34839103903E+000, +0.00000000000E+000
+1.75600000000E+009, -2.36205073702E+000, +0.00000000000E+000
+1.75700000000E+009, -2.38137612608E+000, +0.00000000000E+000
+1.75800000000E+009, -2.40209977815E+000, +0.00000000000E+000
+1.75900000000E+009, -2.42675817246E+000, +0.00000000000E+000
+1.76000000000E+009, -2.44995414191E+000, +0.00000000000E+000
+1.76100000000E+009, -2.47405528960E+000, +0.00000000000E+000
+1.76200000000E+009, -2.50618885116E+000, +0.00000000000E+000
+1.76300000000E+009, -2.53167504236E+000, +0.00000000000E+000
+1.76400000000E+009, -2.55476397794E+000, +0.00000000000E+000
+1.76500000000E+009, -2.58166794435E+000, +0.00000000000E+000
+1.76600000000E+009, -2.60529719120E+000, +0.00000000000E+000
+1.76700000000E+009, -2.63461514892E+000, +0.00000000000E+000
+1.76800000000E+009, -2.65407698982E+000, +0.00000000000E+000
+1.76900000000E+009, -2.67461406458E+000, +0.00000000000E+000
+1.77000000000E+009, -2.69249264194E+000, +0.00000000000E+000
+1.77100000000E+009, -2.71526807067E+000, +0.00000000000E+000
+1.77200000000E+009, -2.72902630568E+000, +0.00000000000E+000
+1.77300000000E+009, -2.75254317958E+000, +0.00000000000E+000
+1.77400000000E+009, -2.77860113960E+000, +0.00000000000E+000
+1.77500000000E+009, -2.79327768859E+000, +0.00000000000E+000
+1.77600000000E+009, -2.81442704186E+000, +0.00000000000E+000
+1.77700000000E+009, -2.84020195693E+000, +0.00000000000E+000
+1.77800000000E+009, -2.86660726788E+000, +0.00000000000E+000
+1.77900000000E+009, -2.88270643415E+000, +0.00000000000E+000
+1.78000000000E+009, -2.90439256555E+000, +0.00000000000E+000
+1.78100000000E+009, -2.93042564966E+000, +0.00000000000E+000
+1.78200000000E+009, -2.94471587118E+000, +0.00000000000E+000
+1.78300000000E+009, -2.96614907779E+000, +0.00000000000E+000
+1.78400000000E+009, -2.98481217909E+000, +0.00000000000E+000
+1.78500000000E+009, -3.00171854232E+000, +0.00000000000E+000
+1.78600000000E+009, -3.01634548481E+000, +0.00000000000E+000
+1.78700000000E+009, -3.03848958468E+000, +0.00000000000E+000
+1.78800000000E+009, -3.05343384377E+000, +0.00000000000E+000
+1.78900000000E+009, -3.07778275445E+000, +0.00000000000E+000
+1.79000000000E+009, -3.10091405571E+000, +0.00000000000E+000
+1.79100000000E+009, -3.11957480658E+000, +0.00000000000E+000
+1.79200000000E+009, -3.13120692632E+000, +0.00000000000E+000
+1.79300000000E+009, -3.14536419960E+000, +0.00000000000E+000
+1.79400000000E+009, -3.15755631855E+000, +0.00000000000E+000
+1.79500000000E+009, -3.17069407392E+000, +0.00000000000E+000
+1.79600000000E+009, -3.18201893890E+000, +0.00000000000E+000
+1.79700000000E+009, -3.19613125919E+000, +0.00000000000E+000
+1.79800000000E+009, -3.21661717462E+000, +0.00000000000E+000
+1.79900000000E+009, -3.23585113794E+000, +0.00000000000E+000
+1.80000000000E+009, -3.25008054538E+000, +0.00000000000E+000
+1.80100000000E+009, -3.26665035434E+000, +0.00000000000E+000
+1.80200000000E+009, -3.28184276442E+000, +0.00000000000E+000
+1.80300000000E+009, -3.29973268271E+000, +0.00000000000E+000
+1.80400000000E+009, -3.30562508870E+000, +0.00000000000E+000
+1.80500000000E+009, -3.32198345643E+000, +0.00000000000E+000
+1.80600000000E+009, -3.32994743651E+000, +0.00000000000E+000
+1.80700000000E+009, -3.34461565316E+000, +0.00000000000E+000
+1.80800000000E+009, -3.36789898796E+000, +0.00000000000E+000
+1.80900000000E+009, -3.38679477980E+000, +0.00000000000E+000
+1.81000000000E+009, -3.41301068450E+000, +0.00000000000E+000
+1.81100000000E+009, -3.43573196674E+000, +0.00000000000E+000
+1.81200000000E+009, -3.46689966428E+000, +0.00000000000E+000
+1.81300000000E+009, -3.48894971875E+000, +0.00000000000E+000
+1.81400000000E+009, -3.52065284310E+000, +0.00000000000E+000
+1.81500000000E+009, -3.54671386293E+000, +0.00000000000E+000
+1.81600000000E+009, -3.57065092210E+000, +0.00000000000E+000
+1.81700000000E+009, -3.59264185233E+000, +0.00000000000E+000
+1.81800000000E+009, -3.61298553038E+000, +0.00000000000E+000
